ML Catalog Number,Format,Common Name,Scientific Name,Background Species,Recordist,Date,Year,Month,Day,Time,Country,Country-State-County,State,County,Locality,Latitude,Longitude,Age/Sex,Behaviors,Playback,Captive,Collected,Specimen ID,Home Archive Catalog Number,Recorder,Microphone,Accessory,Partner Institution,eBird Checklist ID,Unconfirmed,Air Temp(Â°C),Water Temp(Â°C),Media notes,Observation Details,Parent Species,eBird Species Code,Taxon Category,Taxonomic Sort,Recordist 2,Average Community Rating,Number of Ratings,Asset Tags,Original Image Height,Original Image Width
615021865,Photo,Mallard (Domestic type),Anas platyrhynchos (Domestic type),,Michael  Williams,2024-02-18,2024.0,2.0,18.0,933.0,United States,US-MA-017,Massachusetts,Middlesex,Woburn Community Gardens,42.4736361,-71.1680778,,,Unspecified,,,,,,,,,S162025344,,,,,,Anas platyrhynchos,mallar2,Domestic,518.0,,0.0,0.0,,2825.0,4238.0
289195011,Photo,American Bittern,Botaurus lentiginosus,,H BÂ³,2020-12-19,2020.0,12.0,19.0,741.0,United States,US-AZ-019,Arizona,Pima,Sweetwater Wetlands,32.278549,-111.022495,,,Unspecified,,,,,,,,,S77670119,,,,,Foraging in the reeds,Botaurus lentiginosus,amebit,Species,7335.0,,4.5,2.0,,3456.0,4059.0
615944658,Photo,Mallard,Anas platyrhynchos,,YUKIKO ISHIKAWA,2024-03-12,2024.0,3.0,12.0,716.0,Japan,JP-05-08,Akita,Yurihonjo,åæ°´å¬åãã,39.3460307,140.0664955,,,Unspecified,,,,,,,,,S164474891,,,,,,Anas platyrhynchos,mallar3,Species,515.0,,0.0,0.0,,1080.0,1920.0
612679030,Photo,Limpkin,Aramus guarauna,,Eric Konkol,2023-12-03,2023.0,12.0,3.0,705.0,United States,US-TX-215,Texas,Hidalgo,Estero Llano Grande SP WBC (LTC 054),26.1268335,-97.9578167,,,Unspecified,,,,,,,,,S155680373,,,,,Continuing bird in Kiskadee Pond,Aramus guarauna,limpki,Species,5642.0,,3.0,2.0,,1679.0,2519.0
612638837,Photo,Common Loon,Gavia immer,,Christopher Braut,2023-12-23,2023.0,12.0,23.0,846.0,United States,US-NY-103,New York,Suffolk,"Tanner Park, Copiague",40.6584003,-73.3958458,,,Unspecified,,,,,,,,,S156926030,,,,,,Gavia immer,comloo,Species,6774.0,,0.0,0.0,,3456.0,4608.0
611228554,Photo,Limpkin,Aramus guarauna,,Edge Wade,2023-11-16,2023.0,11.0,16.0,1405.0,United States,US-MO-019,Missouri,Boone,Twin Lakes Recreation Area,38.9268984,-92.3788834,,,Unspecified,,,,,,,,,S154580481,,,,,"Continuing, now along shoreline on creek side of lake near trail, walking toward corner with concrete box drain close to MKT trestle.  Watched it pick up mussel, carry it to shore, work it open and eat it, first in bite-sized pieces, then large mass.",Aramus guarauna,limpki,Species,5642.0,,0.0,0.0,,480.0,640.0
374815511,Photo,Red-tailed Hawk,Buteo jamaicensis,,Adam Zahm,2021-10-03,2021.0,10.0,3.0,1215.0,United States,US-UT-035,Utah,Salt Lake,Killyon Canyon,40.8027361,-111.6890419,,Flying,Unspecified,,,,,,,,,S95563328,,,,,,Buteo jamaicensis,rethaw,Species,8312.0,,5.0,2.0,,1633.0,2904.0
247598171,Photo,Razorbill,Alca torda,,Michel GrÃ©goire,2011-07-22,2011.0,7.0,22.0,1430.0,Canada,CA-NS-VI,Nova Scotia,Victoria,Bird Islands IBA,46.3752099,-60.3893454,,,Unspecified,,,,,,,,,S71152285,,,,,,Alca torda,razorb,Species,6372.0,,3.0,1.0,,2448.0,3264.0
419625341,Photo,Razorbill,Alca torda,,Anne Macaluso,2022-02-24,2022.0,2.0,24.0,1215.0,United States,US-NJ-029,New Jersey,Ocean,Manasquan Inlet (Ocean Co.),40.1019338,-74.0346071,,,Unspecified,,,,,,,,,S103634774,,,,Appeared at the end of the Manasquan River jetty,,Alca torda,razorb,Species,6372.0,,3.5,2.0,,641.0,962.0
511220151,Photo,Razorbill,Alca torda,,LÃ¡zaro GarzÃ³n,2022-12-06,2022.0,12.0,6.0,932.0,Spain,ES-CT-BR,CataluÃ±a,Barcelona,Port de Vilanova i la GeltrÃº,41.2133482,1.733097,Adult â 1,,Unspecified,,,,,,,,,S123534291,,,,,Vistas tambiÃ©n ayer,Alca torda,razorb,Species,6372.0,,5.0,1.0,Habitat,2782.0,4317.0
